efgroup,species,ef
5,Benzaldehyde,0.243
5,Benzene,0.451
5,Benzenenitrile,0.0557
5,Benzofuran,0.103
5,Butenyne,0.00935
5,C10H14 non-aromatic,0.0024
5,C11 Aromatics,0.0547
5,CH4,3.69
5,CO,74
5,CO2,1674
5,Camphene,0.00945
5,Crotonaldehyde,0.182
5,Cyclohexene,0.00175
5,Cyclopentane,0.0008
5,Cyclopentanone,0.0834
5,Cyclopentene,0.0406
5,Cyclopentenedione,0.00685
5,Cyclopentenone,0.0748
5,D-Limonene,0.0249
5,Divinylacetylene,0.0068
5,Ethane,0.48
5,Ethanol,0.0553
5,Ethene,1.01
5,Ethyl Formate,0.0126
5,Ethyl Xylene_i1,0.0063
5,Ethyl Xylene_i2,0.0041
5,Ethylbenzene,0.0401
5,Ethylstyrene,0.00435
5,Ethyne,0.213
5,Ethynyl Benzene,0.0526
5,Formaldehyde,1.33
5,FormicAcid,0.0775
5,Furan,0.302
5,Glycolaldehyde,0.199
5,Glycolic Acid,0.00455
5,Heptadiyne_i1,0.00205
5,Heptadiyne_i2,0.0024
5,Hexenes,0.0571
5,Hexenyne,0.0062
5,Hydrogen Cyanide,0.749
5,Indane,0.0087
5,Indene,0.0305
5,Isobutylbenzene,0.00505
5,Isocyanic Acid,0.0815
5,Isoprene,0.0465
5,Isopropylbenzene,0.0061
5,Methacrolein,0.0426
5,Methanol,1.35
5,Methyl Acetate,0.259
5,Methyl Acrylate,0.00845
5,Methyl Diazine_i2,0.00925
5,Methyl Diazine_i3,0.0022
5,Methyl Ethyl Ketone,0.105
5,Methyl Formate,0.0732
5,Methyl Propanoate,0.0098
5,Methyl Vinyl Ketone,0.227
5,Methyl-n-Propylbenzene,0.0037
5,MethylButanoate,0.0027
5,MethylCyclopentadiene_i1,0.00575
5,MethylCyclopentadiene_i2,0.0054
5,MethylDiazine_i1,0.0105
5,MethylMethacrylate,0.0326
5,Methylbenzofuran,0.00085
5,Methylbenzofuran_i1,0.0121
5,Methylbenzofuran_i2,0.019
5,Methylbenzofuran_i3,0.0324
5,Monoterpenes,0.146
5,Myrcene,0.0102
5,NH3,1.5
5,NMOC,17.4988
5,NOx,2.18
5,Naphthalene,0.173
5,Nonadiene,0.00205
5,Nonane,0.013
5,Octadiene,0.0231
5,Other C6H10,0.0013
5,PM10,8.33
5,PM2.5,7.06
5,Pentadieneisomer,0.00615
5,Pentenone,0.231
5,Pentenyneisomers,0.00825
5,Phenol,0.453
5,Propanal,0.0969
5,Propane,0.889
5,Propanenitrile,0.0117
5,Propylene,0.532
5,Propyne,0.0283
5,Pyrrole,0.0127
5,Pyruvic Acid,0.00885
5,Resorcinol,0.189
5,SO2,0.68
5,Sesquiterpenes,0.0167
5,Styrene,0.0881
5,Terpinolene,0.0068
5,Tetrahydrofuran,0.0016
5,Toluene,0.174
5,Vinyl Acetate,0.00035
5,alpha-Methylstyrene,0.0047
5,alpha-Pinene,0.0163
